epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2177,3.94694,6.47868,1.56012,0.00041,0.00492,0.00021,2e-05,2.62832,4.23536,1.05892,0.000462324,0.000462324,0.000462324
2,42.3099,2.57593,2.98709,1.03001,0.00865,0.14417,0.01462,0.00317,2.30974,3.62923,0.9918,0.000929364,0.000929364,0.000929364
3,62.1002,2.36227,2.40431,0.98746,0.673,0.10525,0.26433,0.08516,2.24191,2.85565,0.97053,0.00138697,0.00138697,0.00138697
4,82.7133,2.21966,2.03793,0.95673,0.48166,0.43839,0.46418,0.17718,2.1353,1.96391,0.95603,0.00138656,0.00138656,0.00138656
5,101.766,2.13349,1.8117,0.9434,0.53554,0.67837,0.57165,0.22834,1.99769,1.45753,0.93812,0.00137241,0.00137241,0.00137241
6,121.802,2.07235,1.66938,0.93962,0.52985,0.69671,0.61435,0.22177,2.12852,1.39167,0.94783,0.00135826,0.00135826,0.00135826
7,142.655,2.0556,1.56174,0.93632,0.61899,0.72292,0.69568,0.29273,1.87108,1.26126,0.92467,0.00134412,0.00134412,0.00134412
8,162.441,1.97749,1.47661,0.92521,0.6219,0.75836,0.70681,0.31151,1.79291,1.17837,0.91018,0.00132997,0.00132997,0.00132997
9,182.719,1.96855,1.41033,0.9194,0.67837,0.79348,0.81483,0.35452,1.79342,1.09068,0.9056,0.00131582,0.00131582,0.00131582
10,202.556,1.91686,1.32393,0.91563,0.74433,0.78616,0.82795,0.37288,1.74026,1.04087,0.89809,0.00130168,0.00130168,0.00130168
11,222.045,1.89325,1.28062,0.91066,0.79159,0.74838,0.83819,0.35066,1.82768,1.00938,0.90813,0.00128753,0.00128753,0.00128753
12,243.068,1.87513,1.20256,0.91708,0.57884,0.6743,0.71046,0.31966,1.82364,1.29785,0.90766,0.00127338,0.00127338,0.00127338
13,262.595,1.87123,1.17826,0.89943,0.83825,0.82983,0.89033,0.39917,1.72591,0.9747,0.89155,0.00125923,0.00125923,0.00125923
14,283.342,1.84021,1.11918,0.90415,0.80619,0.89532,0.90569,0.40586,1.75417,0.94454,0.89421,0.00124509,0.00124509,0.00124509
15,303.061,1.80274,1.07981,0.89372,0.91201,0.82471,0.92794,0.40428,1.82924,0.941,0.91096,0.00123094,0.00123094,0.00123094
16,322.337,1.84823,1.06918,0.89832,0.84919,0.85471,0.91485,0.38636,1.82119,0.9595,0.89939,0.00121679,0.00121679,0.00121679
17,343.34,1.84035,1.04075,0.89847,0.87176,0.88293,0.9298,0.42675,1.69839,0.89348,0.88421,0.00120265,0.00120265,0.00120265
18,362.405,1.77333,1.0067,0.89289,0.91668,0.83029,0.93016,0.41289,1.7594,0.88839,0.89416,0.0011885,0.0011885,0.0011885
19,382.037,1.75692,0.99817,0.89203,0.87964,0.8626,0.92287,0.41685,1.74856,0.90297,0.89162,0.00117435,0.00117435,0.00117435
20,402.913,1.76091,0.97567,0.8934,0.90575,0.86709,0.92541,0.45785,1.653,0.85143,0.87799,0.00116021,0.00116021,0.00116021
21,421.321,1.7932,0.99206,0.88831,0.84207,0.85014,0.89518,0.41501,1.70461,0.91039,0.88134,0.00114606,0.00114606,0.00114606
22,442.023,1.7386,0.94877,0.88484,0.86107,0.86432,0.91523,0.41857,1.74264,0.85241,0.8834,0.00113191,0.00113191,0.00113191
23,461.812,1.71972,0.9286,0.88294,0.8852,0.89673,0.94258,0.43112,1.74136,0.85231,0.89398,0.00111776,0.00111776,0.00111776
24,481.121,1.70935,0.91523,0.87946,0.90736,0.86617,0.92239,0.44372,1.65682,0.83975,0.87583,0.00110362,0.00110362,0.00110362
25,502.595,1.67363,0.91175,0.87642,0.89259,0.8938,0.93937,0.46333,1.63048,0.82078,0.87736,0.00108947,0.00108947,0.00108947
26,522.058,1.69837,0.91096,0.88442,0.85591,0.85715,0.91048,0.45579,1.61823,0.84334,0.87509,0.00107532,0.00107532,0.00107532
27,541.529,1.6344,0.881,0.87482,0.91296,0.90139,0.94163,0.45757,1.67422,0.84507,0.88332,0.00106118,0.00106118,0.00106118
28,562.11,1.67279,0.89933,0.87597,0.9072,0.87241,0.93984,0.46536,1.64518,0.82791,0.88178,0.00104703,0.00104703,0.00104703
