epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3285,5.3431,13.1443,2.2385,0,0,0,0,3.66379,4.61036,1.20415,0.00018577,0.00018577,0.00018577
2,35.5928,3.77305,5.35734,1.18418,0,0,0,0,3.18724,4.39046,1.07185,0.000378191,0.000378191,0.000378191
3,41.3646,3.23291,4.25686,1.04876,0.0044,0.04065,0.00278,0.00074,2.94335,4.21579,1.04117,0.000562689,0.000562689,0.000562689
4,48.1635,2.98779,3.60181,1.01769,0.00446,0.04878,0.00331,0.00063,2.84129,4.11053,1.05845,0.000739265,0.000739265,0.000739265
5,53.8458,3.00812,3.36349,1.01589,0.01767,0.18118,0.01833,0.00477,2.65553,3.59983,1.02748,0.000907918,0.000907918,0.000907918
6,60.4939,2.80075,3.08151,0.9745,0.00762,0.18544,0.00696,0.00198,2.80688,9.59399,1.00916,0.00106865,0.00106865,0.00106865
7,66.4381,2.76433,2.94571,0.9718,0.00247,0.06446,0.00245,0.00052,3.66864,3.93123,1.1613,0.00122146,0.00122146,0.00122146
8,71.988,2.78888,2.82022,0.96595,0.01199,0.3374,0.04353,0.00805,3.36903,3.30843,1.09693,0.00123094,0.00123094,0.00123094
9,79.002,2.6533,2.58359,0.94808,0.11855,0.16742,0.10671,0.02625,2.87271,2.99174,1.01693,0.00120265,0.00120265,0.00120265
10,84.3327,2.68984,2.60569,0.95507,0.30958,0.31378,0.2622,0.09196,2.40216,2.2814,0.96625,0.00117435,0.00117435,0.00117435
11,90.833,2.57835,2.41225,0.9412,0.38624,0.41734,0.3249,0.11666,2.38519,2.18528,0.95907,0.00114606,0.00114606,0.00114606
12,96.6735,2.52557,2.38116,0.93693,0.22931,0.33817,0.20259,0.04385,3.14679,2.23311,1.04538,0.00111776,0.00111776,0.00111776
13,104.069,2.55757,2.34669,0.94528,0.45563,0.5211,0.42798,0.15396,2.32851,1.89541,0.94324,0.00108947,0.00108947,0.00108947
14,109.788,2.48143,2.21372,0.93137,0.43293,0.51411,0.42134,0.11293,2.66778,1.79115,1.01265,0.00106118,0.00106118,0.00106118
15,115.739,2.40186,2.17632,0.92668,0.42574,0.61072,0.40757,0.12686,2.54566,1.76704,0.99086,0.00103288,0.00103288,0.00103288
16,121.816,2.44432,2.113,0.92619,0.4094,0.61266,0.48462,0.17729,2.36314,1.69846,0.94465,0.00100459,0.00100459,0.00100459
17,127.44,2.40539,2.0593,0.92595,0.37183,0.51723,0.35057,0.11427,2.48424,1.87043,0.96881,0.000976293,0.000976293,0.000976293
18,134.644,2.39172,2.04197,0.91449,0.39594,0.65292,0.48726,0.17614,2.31741,1.6603,0.93548,0.000947999,0.000947999,0.000947999
19,140.131,2.37867,1.9808,0.93469,0.42984,0.50174,0.42907,0.11639,2.55261,1.81323,0.9577,0.000919704,0.000919704,0.000919704
20,147.435,2.37644,1.96067,0.91966,0.55993,0.50348,0.5483,0.1816,2.31405,1.59258,0.93185,0.00089141,0.00089141,0.00089141
21,152.822,2.41371,1.93881,0.9163,0.34486,0.53881,0.3706,0.08937,2.8485,1.64334,0.99776,0.000863116,0.000863116,0.000863116
22,159.848,2.368,1.87476,0.9212,0.52587,0.66367,0.57149,0.19926,2.20099,1.48252,0.93299,0.000834822,0.000834822,0.000834822
23,165.351,2.20683,1.81662,0.90518,0.55057,0.6833,0.56026,0.1957,2.19502,1.51086,0.92677,0.000806528,0.000806528,0.000806528
24,171.823,2.34764,1.81679,0.90989,0.50783,0.63998,0.57166,0.19517,2.2827,1.46587,0.92917,0.000778233,0.000778233,0.000778233
25,177.947,2.25028,1.77749,0.90478,0.54939,0.69686,0.61915,0.23158,2.10224,1.43193,0.91341,0.000749939,0.000749939,0.000749939
26,184.021,2.19506,1.72636,0.89771,0.49936,0.56939,0.50398,0.14527,2.50809,1.44918,0.95508,0.000721645,0.000721645,0.000721645
27,190.59,2.17489,1.67525,0.89284,0.57544,0.65471,0.60587,0.20848,2.20325,1.49399,0.92398,0.000693351,0.000693351,0.000693351
28,196.041,2.14694,1.66488,0.89493,0.51742,0.67419,0.57674,0.19532,2.21194,1.43986,0.92326,0.000665057,0.000665057,0.000665057
29,203.142,2.15519,1.62813,0.89454,0.51975,0.63636,0.56272,0.19229,2.16696,1.45715,0.91892,0.000636762,0.000636762,0.000636762
30,208.802,2.15816,1.65662,0.89115,0.57618,0.68022,0.62798,0.23401,2.12103,1.41738,0.92218,0.000608468,0.000608468,0.000608468
31,215.646,2.17142,1.60912,0.89511,0.62083,0.70248,0.65436,0.23716,2.20606,1.29172,0.93199,0.000580174,0.000580174,0.000580174
32,221.695,2.11425,1.60596,0.88682,0.62147,0.6959,0.65766,0.23731,2.22429,1.30487,0.93577,0.00055188,0.00055188,0.00055188
33,228.536,2.14274,1.56448,0.8819,0.61791,0.68719,0.6698,0.23727,2.15488,1.32272,0.91715,0.000523586,0.000523586,0.000523586
34,234.128,2.10564,1.51041,0.87988,0.64583,0.74044,0.72375,0.26007,2.1723,1.27049,0.92089,0.000495291,0.000495291,0.000495291
35,240.209,2.07228,1.52426,0.88081,0.57921,0.73531,0.66208,0.23096,2.10448,1.37544,0.91388,0.000466997,0.000466997,0.000466997
36,247.348,2.07167,1.51236,0.89335,0.57758,0.67147,0.61961,0.2081,2.24931,1.42411,0.92232,0.000438703,0.000438703,0.000438703
37,252.985,2.06911,1.47994,0.88483,0.62147,0.7399,0.71375,0.27999,2.02592,1.24474,0.90968,0.000410409,0.000410409,0.000410409
38,260.105,2.13863,1.5026,0.88547,0.70332,0.711,0.71618,0.25836,2.15999,1.27787,0.91412,0.000382115,0.000382115,0.000382115
39,265.578,2.11775,1.47187,0.88441,0.72184,0.79426,0.76241,0.28444,2.13374,1.20697,0.92174,0.00035382,0.00035382,0.00035382
40,272.635,2.15811,1.43274,0.9039,0.67581,0.75939,0.72609,0.26029,2.10734,1.24395,0.91212,0.000325526,0.000325526,0.000325526
41,281.979,2.07042,1.47028,0.90316,0.66089,0.77585,0.72004,0.26852,2.09256,1.21727,0.91443,0.000297232,0.000297232,0.000297232
42,288.871,1.96885,1.40068,0.89313,0.65909,0.75165,0.73408,0.28751,2.06999,1.20082,0.91543,0.000268938,0.000268938,0.000268938
43,294.254,1.95527,1.40305,0.90819,0.70725,0.77582,0.75195,0.28197,2.05172,1.20293,0.91258,0.000240644,0.000240644,0.000240644
44,301.689,1.90558,1.40147,0.89079,0.69277,0.75134,0.76423,0.29852,2.02767,1.17257,0.90968,0.000212349,0.000212349,0.000212349
45,307.264,1.94299,1.38109,0.892,0.677,0.77517,0.77239,0.30095,2.00447,1.1816,0.90631,0.000184055,0.000184055,0.000184055
