epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9799,1.8477,4.66561,1.46031,0.00032,0.01667,0.00023,0.00021,0.83167,4.32181,0.93367,1.875e-05,1.875e-05,1.875e-05
2,27.0446,1.64791,4.57187,1.36876,0.00062,0.03333,0.01662,0.00676,0.83643,4.30706,0.91627,4.33169e-05,4.33169e-05,4.33169e-05
3,28.3509,1.43407,4.4926,1.23812,0.0012,0.06667,0.00675,0.00321,0.81378,4.27204,0.8874,6.73887e-05,6.73887e-05,6.73887e-05
4,29.5892,1.18065,4.32234,1.11257,0.00211,0.06667,0.00242,0.00147,0.77218,4.25319,0.86123,9.09656e-05,9.09656e-05,9.09656e-05
5,30.822,1.04411,4.15467,0.99342,0.00163,0.05,0.00159,0.00136,0.77837,4.24061,0.86557,0.000114047,0.000114047,0.000114047
6,32.1087,1.14156,4.16561,1.0031,0.00589,0.075,0.0086,0.00607,0.79619,4.21542,0.87811,0.000136634,0.000136634,0.000136634
7,33.386,0.96094,3.92738,0.94608,0.02278,0.17708,0.03427,0.02351,0.80818,4.16513,0.87933,0.000158726,0.000158726,0.000158726
8,34.6215,0.9726,3.76801,0.96772,0.06955,0.41042,0.10782,0.07501,0.82535,4.08057,0.86629,0.000180323,0.000180323,0.000180323
9,35.8821,1.02849,3.819,0.9655,0.05885,0.50833,0.0947,0.06875,0.80484,4.02772,0.85736,0.000201425,0.000201425,0.000201425
10,37.223,0.9306,3.57763,0.92995,0.06031,0.54375,0.09785,0.06766,0.81315,4.00662,0.85555,0.000222032,0.000222032,0.000222032
11,39.1942,0.90086,3.368,0.93977,0.06581,0.62708,0.11103,0.07729,0.78478,3.96827,0.85274,0.000242144,0.000242144,0.000242144
12,41.1612,0.98017,3.38274,0.93444,0.06635,0.65417,0.13814,0.09666,0.80125,3.93126,0.85458,0.000261761,0.000261761,0.000261761
13,42.4143,0.96847,3.37088,0.93945,0.07431,0.68125,0.15537,0.11264,0.89252,3.87044,0.8651,0.000280882,0.000280882,0.000280882
14,43.6385,1.00638,3.14189,0.96053,0.08837,0.7375,0.2166,0.16175,0.89014,3.83228,0.86691,0.000299509,0.000299509,0.000299509
15,44.9253,0.99124,3.04593,0.94331,0.09416,0.80208,0.27391,0.20553,0.78766,3.7629,0.8568,0.000317641,0.000317641,0.000317641
16,46.1773,0.91629,2.96584,0.93213,0.09598,0.83125,0.28477,0.21128,0.76529,3.69021,0.85645,0.000335278,0.000335278,0.000335278
17,47.434,0.95992,2.90094,0.93695,0.10274,0.84792,0.3084,0.2231,0.77754,3.63562,0.85697,0.00035242,0.00035242,0.00035242
18,48.662,0.95906,2.8622,0.92553,0.11014,0.89375,0.38746,0.26979,0.86678,3.5716,0.86973,0.000369067,0.000369067,0.000369067
19,49.9131,0.99279,2.70447,0.95453,0.11483,0.92292,0.43413,0.31488,0.85179,3.49946,0.87139,0.000385219,0.000385219,0.000385219
20,51.1933,0.95524,2.6456,0.93018,0.11739,0.93125,0.43422,0.31936,0.82568,3.4516,0.87094,0.000400876,0.000400876,0.000400876
21,53.1927,0.91926,2.61972,0.91554,0.12109,0.93333,0.40201,0.30956,0.79362,3.34537,0.87007,0.000416038,0.000416038,0.000416038
