epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47294,1.56498,4.58475,1.31997,0.00032,0.01667,0.00811,0.00329,0.77184,4.30157,0.89066,3.75e-05,3.75e-05,3.75e-05
2,6.79059,1.13655,4.29511,1.06603,0.00213,0.06253,0.02407,0.01385,0.76075,4.26111,0.85493,8.08478e-05,8.08478e-05,8.08478e-05
3,8.8991,1.0218,4.03592,0.97083,0.01889,0.17468,0.03496,0.02564,0.78045,4.19593,0.85443,0.000123763,0.000123763,0.000123763
4,10.9906,0.98442,3.89319,0.94792,0.03937,0.41939,0.05211,0.0355,0.76154,4.12691,0.84302,0.000166244,0.000166244,0.000166244
5,13.0344,0.96558,3.67375,0.94132,0.04938,0.50035,0.07366,0.05104,0.77594,4.01936,0.83318,0.000208293,0.000208293,0.000208293
6,15.508,0.94685,3.50401,0.92146,0.05936,0.55368,0.10301,0.07381,0.79841,3.96814,0.83266,0.000249908,0.000249908,0.000249908
7,18.1183,0.92588,3.18267,0.91832,0.07001,0.68366,0.15029,0.11313,0.76707,3.85906,0.83672,0.00029109,0.00029109,0.00029109
8,21.0575,0.91938,2.98439,0.91297,0.07711,0.7116,0.22865,0.16915,0.86564,3.82064,0.85538,0.000331839,0.000331839,0.000331839
9,23.0332,0.93025,2.78833,0.91738,0.08423,0.77351,0.3154,0.24138,0.76084,3.67277,0.84898,0.000372155,0.000372155,0.000372155
10,25.1057,0.89956,2.48868,0.91342,0.08847,0.83423,0.37358,0.28688,0.79745,3.55367,0.85511,0.000412038,0.000412038,0.000412038
11,27.3812,0.91359,2.39067,0.91589,0.09043,0.8421,0.40948,0.31124,0.81055,3.39716,0.85938,0.000451487,0.000451487,0.000451487
12,29.438,0.89919,2.22238,0.91057,0.63147,0.35728,0.44342,0.35711,0.77315,3.05923,0.86847,0.000490504,0.000490504,0.000490504
13,31.7957,0.88543,1.98015,0.90972,0.81254,0.23075,0.45801,0.37061,0.77066,2.88797,0.87236,0.000529087,0.000529087,0.000529087
14,35.3729,0.87346,1.78952,0.90162,0.73933,0.38205,0.51424,0.41597,0.73988,2.3299,0.86529,0.000567238,0.000567238,0.000567238
15,37.4671,0.88368,1.68715,0.90921,0.48313,0.54759,0.5995,0.46976,0.81979,1.83241,0.88064,0.000581687,0.000581687,0.000581687
16,39.4471,0.86882,1.52637,0.89951,0.59818,0.63635,0.63041,0.4939,0.77384,1.52062,0.87882,0.000578594,0.000578594,0.000578594
17,41.4691,0.85931,1.43355,0.90697,0.60665,0.65974,0.64674,0.51028,0.75809,1.32719,0.87837,0.0005755,0.0005755,0.0005755
18,43.7041,0.85927,1.34832,0.90691,0.56133,0.64924,0.65191,0.50308,0.79816,1.12048,0.88993,0.000572406,0.000572406,0.000572406
19,46.1394,0.83784,1.29306,0.89837,0.6186,0.62604,0.68884,0.55273,0.74388,1.00238,0.87924,0.000569313,0.000569313,0.000569313
20,49.3051,0.83156,1.22218,0.89645,0.59716,0.71475,0.67846,0.52646,0.7486,0.97655,0.87229,0.000566219,0.000566219,0.000566219
21,51.493,0.82401,1.14121,0.89983,0.5818,0.73745,0.67362,0.53568,0.75529,0.93897,0.87607,0.000563125,0.000563125,0.000563125
22,53.515,0.77627,1.07259,0.87594,0.58681,0.70599,0.66517,0.53971,0.73164,0.88204,0.87272,0.000560031,0.000560031,0.000560031
23,56.3744,0.77237,1.03642,0.89066,0.58837,0.67205,0.67248,0.54503,0.70957,0.8373,0.86675,0.000556938,0.000556938,0.000556938
24,60.4076,0.76234,0.99534,0.88364,0.57135,0.77529,0.70459,0.56839,0.71899,0.83685,0.8694,0.000553844,0.000553844,0.000553844
